Причина,Джерело,Перевірка,Сторінки
Альтернативна сторінка з належним тегом канонічної сторінки,Веб-сайт,Помилка,2245
Копія без вибраної користувачем канонічної версії,Веб-сайт,Помилка,46
Проскановано – наразі не проіндексовано,Системи Google,Помилка,142
Сторінка з переспрямуванням,Веб-сайт,Не почато,593
Виключено тегом noindex,Веб-сайт,Не почато,134
Не знайдено (404),Веб-сайт,Не почато,132
Заблоковано через іншу помилку 4xx,Веб-сайт,Не почато,6
Помилка переадресації,Веб-сайт,Не почато,1
Заблоковано файлом robots.txt,Веб-сайт,Не почато,1
Виявлено – наразі не проіндексовано,Системи Google,Почато,95099