id,name,city,country,vegan_level,source,verification_level,website,reason
5cf0f513-fd92-4f90-9f4f-7594e079f65f,"Sweetgarden Grill","Quincy",United States,vegan_friendly,osm_validated_batch3,1,https://sweetgardengrillquincy.com/,ambiguous-pattern
336b1973-1468-406b-9e43-d1a0fb6d3341,"Lighthouse Burgers","Rindby Strand",Denmark,vegan_friendly,osm-import-2026-04,0,https://www.lighthouseburgers.com/,ambiguous-pattern
b2f64a50-3ebe-4068-ba28-42cd1ece1479,"Din Burger Bar","Hobro",Denmark,vegan_friendly,osm-import-2026-04,0,https://dinburgerbar.dk/,ambiguous-pattern
0f8af9b2-0234-45b3-b76d-838641d32852,"Yankii Sushi","Copenhagen",Denmark,vegan_friendly,osm-import-2026-04,0,https://www.yankii.dk,ambiguous-pattern
1a5ab8a6-6a4b-4eab-820a-261b5f12b4e0,"Salsa Mexican Grill","Randburg",South Africa,vegan_friendly,osm-import-2026-04,1,https://salsamexicangrill.co.za/,ambiguous-pattern
cf4df406-7907-453c-aefc-dfdb0d4aee5a,"Opern Schnitzel","Vienna",Austria,mostly_vegan,openstreetmap,1,https://www.opernschnitzel.at,ambiguous-pattern
0dbb8db5-0d60-49e9-9104-463c298d4900,"Hamsa Grill","Warsaw",Poland,vegan_friendly,osm_validated_batch3,1,https://hamsagrill.pl,ambiguous-pattern
68371ab5-7085-4a13-bf97-479123a5fb68,"Burgermeester","Amsterdam",Netherlands,vegan_friendly,openstreetmap,1,https://burgermeester.eu/,ambiguous-pattern
6994df35-83e0-491e-8582-75e7e701e70c,"Bar Thonet Grill Room","Barcelona",Spain,vegan_friendly,osm-import-2026-04,1,http://www.grupandilana.com/en/restaurantes/grill-room/,ambiguous-pattern
1ae68f8f-b621-4181-86c7-987e7a01f36d,"Sticks'n'Sushi","Copenhagen",Denmark,vegan_friendly,osm-import-2026-04,0,http://www.sushi.dk/restauranter/nansensgade.html,ambiguous-pattern
26cec744-921b-4d11-a947-2ee90bd93ec5,"Kings Running Sushi & Buffet Odense","Odense",Denmark,vegan_friendly,osm-import-2026-04,0,https://kings-odense.dk/,ambiguous-pattern
dedf4f55-2a02-4614-92d0-b2678dee1d59,"Sushi2500","Roskilde",Denmark,vegan_friendly,osm-import-2026-04,0,https://www.sushi2500.dk/,ambiguous-pattern
b53d5f9a-ed51-4d6b-8035-06edd406f0b6,"Indian Restaurant Mumbai + Tandoori Grill","Minato",Japan,vegan_friendly,osm-import-2026-04,1,https://mumbai-odaiba.com,ambiguous-pattern